Mu_xi,Mu_yi,Mu_zi,Mu_xf,Mu_yf,Mu_zf,E (Ry),dE (Ry),dE (K),NN ion,NN dist (A),Multipl,Dist cluster,Bond order cluster
0.002,0.469,0.169,0.11855555,0.301448227,0.017728612,-1473.03731233,0.0,0.0,O,1.00169857998,4.0,2.0,3
0.035,0.701,0.515,0.19015203,0.623754462,0.49092315,-1473.03612657,0.0011857599999984814,187.21675872664798,O,1.00764346164,4.0,3.0,2
0.029,0.48,0.069,0.076998819,0.40199212399999995,0.996090741,-1473.0326875199999,0.0046248100002230785,730.1999881674722,O,0.992146689395,4.0,1.0,1
Structural information
A (Ang),B (Ang),C (Ang),alpha,beta,gamma,cell_volume (Ang^3),N_atoms,spg H-M
5.63650986769,5.58361122258,7.8232120963,90.0,89.815020544,90.0,246.211471859,21.0,14.0
Cartesian,Crystal,Axes
5.63650986769,0.0,0.0
0.0,5.58361122258,0.0
0.0252572007171,0.0,7.82317132482
Distances between final muon sites (Angstrom) 
0.0,1.46665568128,0.631620691822
1.46665568128,0.0,2.03649377871
1.46665568128,0.631620691822,0.0
 
X,0.00200011123891,0.468999863721,0.168999946684,0.11855555,0.301448227,0.017728612,1.00169857998,Final,Energy,-1473.03731233,Ry,-20041.693467054025,eV,-232574273.96622318,K
Atom,x_i,y_i,z_i,x_f,y_f,z_f,Mu-dist.(A),Displ.(A),Cart_x_i,Cart_y_i,Cart_z_i,Cart_x_f,Cart_y_f,Cart_z_f,Change in dist. to final muon si
Pb,0.006,0.512,0.251,0.97515114,0.495368348,0.276934842,2.434592810195417,0.28311865125518726,0.03902437606894764,2.8576913387849814,1.9612687005414722,-0.13306624570087583,2.7659442672042824,2.1665087147779705,0.1767719304180977
Pb,0.994,0.488,0.749,0.994974863,0.486017789,0.742000257,2.491980481609689,0.05854001870001364,5.622745510592513,2.7259181928432046,5.861900369674628,5.6269264828256205,2.713734381034475,5.804795133571505,0.04289311562264375
Pb,0.494,0.012,0.249,0.504993863,0.041112799,0.269771433,3.282232286587749,0.23706868164646253,2.7918602854362895,0.06588685479638183,1.950315834566578,2.85321656315312,0.2295578858881229,2.1104681389012123,0.056485689129908145
Pb,0.506,0.988,0.751,0.488704783,0.03818585899999993,0.745761161,3.3184171773590134,0.29782620432461865,2.8699096012251717,5.517723240482791,5.872853235649522,2.773425171096919,5.796826213437447,5.834217329899706,-0.1684149484634161
Co,0.0,0.0,0.0,0.9848520629999999,0.953133003,0.004827545,2.088322326686417,0.2778050600861304,0.0,0.0,0.0,-0.08525956610260163,-0.2616870904178769,0.037766711613278395,0.2718865376297197
Co,0.5,0.5,0.5,0.491008956,0.525033319,0.508238749,4.5544633155025815,0.16198539262832237,2.830884661505237,2.791805047639586,3.91158453510805,2.780413513713585,2.9315819321974272,3.976038807339213,0.066827749931619
Os,0.0,0.0,0.5,0.0005534170000000001,0.991479592,0.508042457,4.2585176885598734,0.07895020130584572,0.012629727660531664,0.0,3.91158453510805,0.01595107069071297,-0.047574645729770174,3.9745031813935214,0.07543568896663011
Os,0.5,0.5,0.0,0.502138052,0.534058876,0.005309401,2.5237899814852405,0.19503633327405717,2.8182549338447056,2.791805047639586,0.0,2.8304401856470833,2.9819771335526726,0.04153635365517088,0.10119852908605154
O,0.934,0.991,0.258,0.964230848,0.007892546999999972,0.259374257,2.6469718541644593,0.19662282346600493,5.270456316399097,5.531124042693222,2.0191601660905367,5.441447757152431,5.627680136585095,2.0291292497589053,-0.11334453514478193
O,0.066,0.009,0.742,0.022865569,0.016062152,0.756516947,2.648238650666874,0.27141648247813255,0.3913135702623638,0.05248605258595026,5.804008904125564,0.1479895056751121,0.0896848121660042,5.918361686510807,-0.07335258407032752
O,0.566,0.491,0.242,0.529837002,0.500825352,0.252691082,3.1653875423083244,0.22815305677288925,3.1969387764465376,2.7393189950536363,1.8924243690175135,2.9928137594174733,2.7964140559803528,1.976845626740151,-0.08777663392713819
O,0.434,0.509,0.758,0.46592887299999997,0.492590973,0.760773986,2.9980409244072925,0.20460080603429126,2.4648311102149236,2.844291100225537,5.930744701198587,2.645427711570669,2.750436484984966,5.951665231944248,0.06381306431949119
O,0.241,0.282,0.035,0.281497057,0.229875887,0.019180281,1.0016985799779123,0.3909746398433804,1.3604201305517016,1.5756947882773764,0.27694033028214415,1.5871453797130564,1.2835375824539954,0.15005062432119076,0.28814604576118075
O,0.759,0.718,0.965,0.679011081,0.820513844,0.995251515,3.658255296007341,0.7668019435745836,4.301349192458773,4.007915307001796,7.546228739933957,3.852389925605323,4.581430307641596,7.786023113131709,0.5446619230232566
O,0.259,0.782,0.465,0.292946754,0.804474528,0.495201118,4.758466907081111,0.3318468108820729,1.4704645309535358,4.367499835916963,3.634644204825906,1.6637046636612487,4.49187300282147,3.8740431863564284,0.2784955861897398
O,0.741,0.218,0.535,0.725401179,0.21990392799999997,0.51951489,4.512798394582698,0.15356787711930697,4.191305355707926,1.2161102593622097,4.188524865390194,4.101852395319293,1.2278580402704762,4.0642539902650405,0.1502073041102605
O,0.282,0.765,0.036,0.193959036,0.689975206,0.021759421,2.2108690028283107,0.659716628573254,1.5921088686630747,4.269227850024785,0.28554558989714557,1.0938016024052108,3.8525533035243376,0.17022767841188716,-0.5390345455752623
O,0.718,0.235,0.963,0.7825238790000001,0.321020413,0.994268781,1.9066412229027743,0.6485089679543877,4.069661017998387,1.314381681603401,7.537623480318954,4.435816011854574,1.7924531807044344,7.778335016682983,-0.4229879978323823
O,0.218,0.265,0.463,0.215119761,0.285853487,0.494153666,3.7694502450229903,0.2679203053973092,1.2387763564931493,1.477423366036185,3.626038945210905,1.2250055939387485,1.5960947380271537,3.8658487899059026,0.22983048188013777
O,0.782,0.735,0.536,0.787746272,0.714173871,0.521699597,4.888026252073598,0.16843985619842822,4.422993530168312,4.106186729242988,4.197130125005196,4.453316306799015,3.987669240989819,4.081345327420575,0.021544025796737643
X,0.002,0.469,0.169,0.11855555,0.301448227,0.017728612,0.0,1.6438753979803287,0.015542112309166783,2.6187129024617253,1.3221155367928576,0.6686873025560652,1.6831697033043889,0.13869396902726058,0.0
 
X,0.0350002856134,0.700999782963,0.514999863107,0.19015203,0.623754462,0.49092315,1.00764346164,Final,Energy,-1473.03612657,Ry,-20041.67733396748,eV,-232574086.74946448,K
Atom,x_i,y_i,z_i,x_f,y_f,z_f,Mu-dist.(A),Displ.(A),Cart_x_i,Cart_y_i,Cart_z_i,Cart_x_f,Cart_y_f,Cart_z_f,Change in dist. to final muon si
Pb,0.006,0.512,0.251,0.983022081,0.52727144,0.230393854,2.413044136381471,0.22206816872457077,0.03902437606894764,2.8576913387849814,1.9612687005414722,-0.08987710416186358,2.9440787297305215,1.8024105920275766,0.17363859380672153
Pb,0.994,0.488,0.749,0.997528625,0.48425828,0.764713321,2.5215607676536838,0.1240616505136975,5.622745510592513,2.7259181928432046,5.861900369674628,5.6418944559546995,2.703909966835843,5.9824833245551075,0.09996275028873036
Pb,0.494,0.012,0.249,0.48199694000000004,0.034110091,0.243397402,3.4183532597780784,0.14967211814539164,2.7918602854362895,0.06588685479638183,1.950315834566578,2.7229280455424396,0.19045748691086414,1.9041395758620976,0.07413730751339198
Pb,0.506,0.988,0.751,0.48163720299999996,0.984937054,0.761182918,3.355457965237156,0.15979692360316014,2.8699096012251717,5.517723240482791,5.872853235649522,2.7339781970981942,5.499505588250412,5.954864377040449,-0.029780163130259663
Co,0.0,0.0,0.0,0.988002482,0.008508024,0.999669713,4.551025582614824,0.08268978147308331,0.0,0.0,0.0,-0.06763247071983458,0.04750549828838973,-0.002583891787360839,0.04115909581888033
Co,0.5,0.5,0.5,0.534109022,0.498593579,0.505482016,2.0643189649056457,0.19727179741929535,2.830884661505237,2.791805047639586,3.91158453510805,3.0232778336619455,2.783952703211299,3.954472412783428,0.18457141171673674
Os,0.0,0.0,0.5,0.975605259,0.019819434,0.500977879,2.5216224241454475,0.17664983300879558,0.012629727660531664,0.0,3.91158453510805,-0.12484789952148928,0.11066401410760633,3.9192357773619673,0.1622394504038831
Os,0.5,0.5,0.0,0.49582586,0.506150695,0.999804823,4.2566252546411745,0.041660497165513045,2.8182549338447056,2.791805047639586,0.0,2.794722422920924,2.8261487009192465,-0.0015269031096644022,-0.01355869819721267
O,0.934,0.991,0.258,0.934456731,0.9894116909999999,0.255914667,3.1053018954803515,0.01859503182832351,5.270456316399097,5.531124042693222,2.0191601660905367,5.273538273321163,5.524490221620589,2.002064284475271,0.00427105638439107
O,0.066,0.009,0.742,0.04584336,0.020991151,0.746070431,3.091120138206313,0.1351519142664592,0.3913135702623638,0.05248605258595026,5.804008904125564,0.27724020163291047,0.11720642629849544,5.836636802095334,0.09581882161935384
